X1;X2;X3;X4;X5;Y
180;8;3070;1300;3504;120	
150;8;3500;1650;3693;115	
180;8;3180;1500;3436;110	
160;8;3040;1500;3433;120
170;8;3020;1400;3449;105
150;8;4290;1980;4341;100
140;8;4540;2200;4354;90
140;8;4400;2150;4312;85
140;8;4550;2250;4425;100
150;8;3900;1900;3850;85
150;8;3830;1700;3563;100
140;8;3400;1600;3609;80
150;8;4000;1500;3761;95
140;8;4550;2250;3086;100
240;4;1130;9500;2372;150
220;6;1980;9500;2833;155
180;6;1990;9700;2774;155
210;6;2000;8500;2587;160
270;4;9700;8800;2130;145
260;4;9700;4600;1835;205